2001:250:c11::,138374,-1,cernet2 regional ix at taiyuan university
2001:250:c1d::,23910,-1,china next generation internet cernet2
2001:250:c1e::,138374,-1,cernet2 regional ix at taiyuan university
2001:250:c29::,23910,-1,china next generation internet cernet2
2001:250:c2a::,138374,-1,cernet2 regional ix at taiyuan university
2001:250:c2e::,23910,-1,china next generation internet cernet2
2001:250:c31::,138374,-1,cernet2 regional ix at taiyuan university
2001:250:c33::,23910,-1,china next generation internet cernet2
2001:250:c34::,138374,-1,cernet2 regional ix at taiyuan university
2001:250:c36::,23910,-1,china next generation internet cernet2
2001:250:e00::,138375,-1,cernet2 regional ix at inner mongolia university
2001:250:e03::,23910,-1,china next generation internet cernet2
2001:250:e04::,138375,-1,cernet2 regional ix at inner mongolia university
2001:250:e0d::,23910,-1,china next generation internet cernet2
2001:250:e0e::,138375,-1,cernet2 regional ix at inner mongolia university
2001:250:e21::,23910,-1,china next generation internet cernet2
2001:250:1001::,24353,-1,cernet2 ix at xian jiaotong university
2001:250:101f::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:1020::,24353,-1,cernet2 ix at xian jiaotong university
2001:250:1028::,23910,-1,china next generation internet cernet2
2001:250:1029::,24353,-1,cernet2 ix at xian jiaotong university
2001:250:102e::,23910,-1,china next generation internet cernet2
2001:250:1400::,24354,-1,cernet2 ix at lanzhou university
2001:250:1407::,23910,-1,china next generation internet cernet2
2001:250:1408::,24354,-1,cernet2 ix at lanzhou university
2001:250:140c::,23910,-1,china next generation internet cernet2
2001:250:140d::,24354,-1,cernet2 ix at lanzhou university
2001:250:1423::,23910,-1,china next generation internet cernet2
2001:250:1800::,138441,-1,cernet2 regional ix at xinjiang university
2001:250:181a::,23910,-1,china next generation internet cernet2
2001:250:181b::,138441,-1,cernet2 regional ix at xinjiang university
2001:250:1828::,23910,-1,china next generation internet cernet2
2001:250:1c00::,138376,-1,cernet2 regional ix at ningxia university
2001:250:1c0e::,23910,-1,china next generation internet cernet2
2001:250:1e00::,138377,-1,cernet2 regional ix at qinghai normal university
2001:250:1e0a::,23910,-1,china next generation internet cernet2
2001:250:2000::,24355,-1,cernet2 ix at university of electronic science and technology of china
2001:250:2011::,23910,-1,china next generation internet cernet2
2001:250:2012::,24355,-1,cernet2 ix at university of electronic science and technology of china
2001:250:2031::,23910,-1,china next generation internet cernet2
2001:250:2032::,24355,-1,cernet2 ix at university of electronic science and technology of china
2001:250:203d::,23910,-1,china next generation internet cernet2
2001:250:2100::,138381,-1,cernet2 regional ix at guizhou university
2001:250:2101::,23910,-1,china next generation internet cernet2
2001:250:2401::,24356,-1,cernet2 ix at chongqing university
2001:250:2403::,23910,-1,china next generation internet cernet2
2001:250:2406::,24356,-1,cernet2 ix at chongqing university
2001:250:240e::,23910,-1,china next generation internet cernet2
2001:250:240f::,24356,-1,cernet2 ix at chongqing university
2001:250:2411::,23910,-1,china next generation internet cernet2
2001:250:2413::,24356,-1,cernet2 ix at chongqing university
2001:250:241f::,23910,-1,china next generation internet cernet2
2001:250:2420::,24356,-1,cernet2 ix at chongqing university
2001:250:2426::,23910,-1,china next generation internet cernet2
2001:250:2427::,24356,-1,cernet2 ix at chongqing university
2001:250:2428::,23910,-1,china next generation internet cernet2
2001:250:2429::,24356,-1,cernet2 ix at chongqing university
2001:250:2438::,23910,-1,china next generation internet cernet2
2001:250:2439::,24356,-1,cernet2 ix at chongqing university
2001:250:243a::,23910,-1,china next generation internet cernet2
2001:250:2800::,138378,-1,cernet2 regional ix at yunnan university
2001:250:2807::,23910,-1,china next generation internet cernet2
2001:250:2808::,138378,-1,cernet2 regional ix at yunnan university
2001:250:2824::,23910,-1,china next generation internet cernet2
2001:250:2826::,138378,-1,cernet2 regional ix at yunnan university
2001:250:282f::,23910,-1,china next generation internet cernet2
2001:250:2c00::,138381,-1,cernet2 regional ix at guizhou university
2001:250:2c05::,24357,-1,cernet2 ix at south china university of technology
2001:250:2c06::,138381,-1,cernet2 regional ix at guizhou university
2001:250:2c0c::,23910,-1,china next generation internet cernet2
2001:250:2c0d::,138381,-1,cernet2 regional ix at guizhou university
2001:250:2c12::,23910,-1,china next generation internet cernet2
2001:250:2c13::,138381,-1,cernet2 regional ix at guizhou university
2001:250:2c2c::,23910,-1,china next generation internet cernet2
2001:250:2c2d::,138381,-1,cernet2 regional ix at guizhou university
2001:250:2c2f::,23910,-1,china next generation internet cernet2
2001:250:2e00::,138442,-1,cernet2 regional ix at tibet university
2001:250:2e01::,23910,-1,china next generation internet cernet2
2001:250:3000::,24357,-1,cernet2 ix at south china university of technology
2001:250:3011::,23910,-1,china next generation internet cernet2
2001:250:3012::,24357,-1,cernet2 ix at south china university of technology
2001:250:3014::,23910,-1,china next generation internet cernet2
2001:250:3015::,24357,-1,cernet2 ix at south china university of technology
2001:250:301b::,23910,-1,china next generation internet cernet2
2001:250:301c::,24357,-1,cernet2 ix at south china university of technology
2001:250:3082::,23910,-1,china next generation internet cernet2
2001:250:3400::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3401::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3402::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3405::,138393,-1,cernet2 regional ix at guangxi university
2001:250:340a::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:340b::,138393,-1,cernet2 regional ix at guangxi university
2001:250:340e::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3410::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3415::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3417::,138393,-1,cernet2 regional ix at guangxi university
2001:250:341a::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:341c::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3420::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3423::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3427::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3428::,138393,-1,cernet2 regional ix at guangxi university
2001:250:342a::,138438,-1,cernet2 regional ix at guangxi normal university
